card1,card2,position,skill,decision,played_at
Ks,Ah,sb,advanced,aggress,2023-11-29 04:08:46.849349
Ah,4c,bb,advanced,aggress,2023-11-29 04:09:29.766998
5c,6h,bb,advanced,fold,2023-11-29 04:10:21.958219
2d,Qc,bb,advanced,fold,2023-11-29 04:10:23.812177
Ah,5h,bb,advanced,aggress,2023-11-29 04:10:25.154713
3d,2c,bb,advanced,fold,2023-11-29 04:12:45.381582
2d,5c,sb,advanced,fold,2023-11-29 04:12:46.430483
5h,7h,sb,advanced,fold,2023-11-29 04:12:47.440846
Qh,9d,bb,advanced,aggress,2023-11-29 04:12:48.621744
Ac,Ah,bb,advanced,aggress,2023-11-29 04:16:11.652525
3s,8c,sb,beginner,fold,2023-11-29 04:43:22.668842
Jd,Kc,sb,beginner,aggress,2023-11-29 04:43:25.006619
Kd,6c,sb,beginner,aggress,2023-11-29 04:47:36.636492
2h,5c,bb,beginner,fold,2023-11-29 04:47:57.486491
6c,2c,sb,beginner,aggress,2023-11-29 04:47:59.356068
Jd,9h,bb,beginner,aggress,2023-11-29 04:48:17.267821
9s,3s,bb,beginner,aggress,2023-11-29 04:48:36.924138
7d,3h,sb,beginner,aggress,2023-11-29 04:48:55.171092
Kh,Qh,sb,advanced,aggress,2023-11-29 05:05:17.826276
Jh,Ah,bb,advanced,aggress,2023-11-29 05:05:47.698741
7s,8c,bb,advanced,fold,2023-11-29 05:06:18.30282
4d,9s,bb,intermediate,fold,2023-11-29 05:07:22.825977
Ac,Kd,bb,advanced,aggress,2023-11-29 05:09:20.012862
4d,6d,bb,intermediate,fold,2023-11-29 05:10:02.4714
5s,4c,sb,intermediate,fold,2023-11-29 05:10:03.972711
2c,2h,bb,intermediate,aggress,2023-11-29 05:10:05.038466
Ad,4h,bb,advanced,aggress,2023-11-29 18:10:43.795696
Qd,Tc,bb,advanced,aggress,2023-11-29 18:10:58.779591
2h,4h,sb,advanced,fold,2023-11-29 18:11:17.507999
Td,Ah,sb,advanced,aggress,2023-11-29 18:11:18.834006
Qd,4d,bb,advanced,fold,2023-11-29 18:11:43.755972
5c,Ks,sb,advanced,fold,2023-11-29 18:11:45.811286
2d,Qs,bb,advanced,fold,2023-11-29 18:11:46.958289
Jc,3d,bb,advanced,fold,2023-11-29 18:11:48.11628
8h,9h,sb,advanced,aggress,2023-11-29 18:11:49.553146
Ac,Ah,bb,advanced,aggress,2023-11-29 18:12:11.973609
Ts,Jd,sb,advanced,aggress,2023-11-29 18:12:24.534179
Kd,Jh,bb,advanced,aggress,2023-11-29 18:12:33.31126
Qs,Ah,sb,advanced,aggress,2023-11-29 18:20:39.770713
Kh,9h,sb,advanced,aggress,2023-11-29 18:20:52.27439
9h,7h,sb,advanced,fold,2023-11-29 18:21:01.604877
3s,2c,bb,advanced,fold,2023-11-29 18:22:12.538848
4c,Qc,sb,advanced,fold,2023-11-29 18:22:14.557064
Qh,Kh,bb,advanced,aggress,2023-11-29 18:22:16.131602
Jd,9c,sb,advanced,aggress,2023-11-29 18:22:25.176053
7d,5c,bb,advanced,fold,2023-11-29 18:22:34.045822
3h,8s,sb,advanced,fold,2023-11-29 18:22:35.414211
5h,3s,bb,advanced,fold,2023-11-29 18:22:36.818827
3d,5c,sb,advanced,fold,2023-11-29 18:22:41.573713
Ad,4d,bb,beginner,aggress,2023-11-29 21:21:09.213725
4c,Jh,bb,beginner,fold,2023-11-29 21:21:18.478429
8d,3h,sb,beginner,fold,2023-11-29 21:21:19.977693
2c,6h,bb,beginner,fold,2023-11-29 21:21:21.093645
9c,9h,sb,beginner,aggress,2023-11-29 21:21:22.245763
Ac,8c,sb,advanced,aggress,2023-11-29 22:39:45.675691
8h,7c,sb,advanced,fold,2023-11-29 22:44:11.245845
7d,Qc,bb,advanced,aggress,2023-11-29 22:44:12.729113
Js,9h,bb,advanced,aggress,2023-11-29 23:04:36.273836
4s,3h,bb,advanced,fold,2023-11-29 23:04:45.109149
3c,Kh,sb,advanced,fold,2023-11-29 23:04:47.538575
9s,3d,bb,advanced,fold,2023-11-29 23:05:02.740915
7h,2c,sb,advanced,fold,2023-11-29 23:05:05.520482
Td,5c,bb,advanced,fold,2023-11-29 23:05:10.311746
3c,8c,sb,advanced,fold,2023-11-29 23:05:12.050964
7s,Kc,bb,advanced,aggress,2023-11-29 23:05:13.649874
6h,3s,sb,advanced,fold,2023-11-29 23:08:50.810875
5d,4s,bb,advanced,fold,2023-11-29 23:08:57.863385
Ah,Qs,sb,advanced,aggress,2023-11-29 23:10:47.552612
Jd,5c,sb,advanced,fold,2023-11-29 23:18:35.648916
Td,8h,bb,advanced,aggress,2023-11-29 23:18:37.923088
5h,Kh,bb,advanced,fold,2023-11-29 23:18:48.194042
Jd,4s,sb,advanced,fold,2023-11-29 23:18:50.956904
3c,9c,bb,advanced,fold,2023-11-29 23:18:53.587082
7c,2c,sb,advanced,fold,2023-11-29 23:18:54.900111
8c,Ts,bb,advanced,aggress,2023-11-29 23:18:56.468558
3c,4s,bb,advanced,fold,2023-11-29 23:23:42.681746
7c,Jc,sb,advanced,aggress,2023-11-29 23:23:53.96444
3s,7s,sb,advanced,fold,2023-11-29 23:24:03.54157
4s,Jd,bb,advanced,fold,2023-11-29 23:24:06.444195
8d,Td,sb,advanced,aggress,2023-11-29 23:24:10.203313
9s,4s,bb,advanced,fold,2023-11-29 23:26:44.450191
Tc,2h,sb,advanced,fold,2023-11-29 23:26:47.58962
Ad,Qh,bb,advanced,aggress,2023-11-29 23:26:49.683065
Js,7d,sb,advanced,aggress,2023-11-29 23:28:05.128454
Ts,2c,sb,advanced,fold,2023-11-29 23:28:35.912378
9d,4d,sb,advanced,fold,2023-11-29 23:29:45.814534
Kh,Js,bb,advanced,aggress,2023-11-29 23:30:21.884595
Js,2h,sb,advanced,fold,2023-11-29 23:30:32.516584
2s,6s,sb,advanced,fold,2023-11-29 23:31:35.88645
7c,9d,bb,advanced,fold,2023-11-29 23:31:39.281571
Kh,Qd,sb,advanced,aggress,2023-11-29 23:31:41.503905
7h,6c,bb,advanced,fold,2023-11-29 23:31:55.842406
2c,9h,sb,advanced,fold,2023-11-29 23:31:58.075273
9c,Kh,bb,advanced,aggress,2023-11-29 23:31:59.044888
As,9c,bb,advanced,aggress,2023-11-29 23:33:14.206992
Ac,4d,sb,advanced,fold,2023-11-29 23:33:23.288348
7c,3c,bb,advanced,fold,2023-11-29 23:33:27.374939
Qh,Ac,sb,advanced,aggress,2023-11-29 23:33:28.697659
4h,6s,sb,advanced,fold,2023-11-29 23:33:56.535794
Js,9s,bb,advanced,aggress,2023-11-29 23:33:57.868131
5h,7s,bb,advanced,fold,2023-11-29 23:34:06.634357
Ah,Ad,sb,advanced,aggress,2023-11-29 23:34:08.318305
Ad,6s,bb,advanced,aggress,2023-11-29 23:35:35.210788
8c,8s,sb,advanced,aggress,2023-11-29 23:35:44.925114
4s,3c,sb,advanced,fold,2023-11-29 23:35:53.456367
Th,4s,bb,advanced,fold,2023-11-29 23:35:55.083447
3h,8s,sb,advanced,fold,2023-11-29 23:35:57.403859
2h,2d,sb,advanced,aggress,2023-11-29 23:36:39.423379
3h,6s,bb,advanced,fold,2023-11-29 23:36:44.686674
4d,4h,bb,advanced,aggress,2023-11-29 23:37:07.221353
Ac,6s,bb,advanced,aggress,2023-11-29 23:37:50.487305
3d,Js,sb,advanced,fold,2023-11-29 23:39:24.245512
Tc,3s,bb,advanced,fold,2023-11-29 23:39:29.794202
Jc,2c,sb,advanced,fold,2023-11-29 23:39:32.577966
5c,Qc,bb,advanced,aggress,2023-11-29 23:39:36.084579
Js,4h,sb,advanced,fold,2023-11-29 23:41:18.934298
3c,8h,bb,advanced,fold,2023-11-29 23:41:20.530389
9c,Ad,sb,advanced,aggress,2023-11-29 23:41:22.477735
Th,6c,sb,advanced,fold,2023-11-29 23:43:36.550003
5s,Kc,bb,advanced,aggress,2023-11-29 23:43:38.110161
,,,advanced,fold,2023-11-29 23:43:45.3398
Ks,Kh,sb,advanced,aggress,2023-11-29 23:43:52.751262
,,,advanced,fold,2023-11-29 23:44:00.905295
Kh,8d,sb,advanced,aggress,2023-11-29 23:44:45.767723
8c,5s,bb,advanced,fold,2023-11-29 23:44:49.860218
3h,Js,sb,advanced,fold,2023-11-29 23:44:53.454811
2c,7d,bb,advanced,fold,2023-11-29 23:44:55.568976
Tc,8s,sb,advanced,fold,2023-11-29 23:45:18.945717
3c,Jc,bb,advanced,fold,2023-11-29 23:45:21.315705
Jd,4h,sb,advanced,aggress,2023-11-29 23:45:23.690586
,,,advanced,fold,2023-11-29 23:45:30.891761
Kd,Ah,bb,advanced,aggress,2023-11-29 23:46:12.07064
,,,advanced,fold,2023-11-29 23:46:19.894714
4h,Jh,sb,advanced,fold,2023-11-29 23:48:41.774241
2s,3c,bb,advanced,fold,2023-11-29 23:48:45.140051
2s,6c,sb,advanced,fold,2023-11-29 23:48:46.234339
Jh,Js,bb,advanced,aggress,2023-11-29 23:48:47.353658
2h,Qh,sb,advanced,fold,2023-11-29 23:49:57.338942
5c,6d,bb,advanced,fold,2023-11-29 23:49:58.828136
2s,5h,sb,advanced,fold,2023-11-29 23:50:00.023953
2s,Qd,bb,advanced,fold,2023-11-29 23:50:01.057326
Tc,4s,sb,advanced,fold,2023-11-29 23:50:02.190811
3s,7s,bb,advanced,fold,2023-11-29 23:50:03.079272
5d,5h,sb,advanced,aggress,2023-11-29 23:50:04.15551
4d,6s,sb,advanced,fold,2023-11-29 23:54:59.0422
9h,9s,bb,advanced,fold,2023-11-29 23:55:00.593132
6s,6d,bb,advanced,aggress,2023-11-30 01:08:14.696416
8d,Kh,sb,advanced,aggress,2023-11-30 01:09:22.539083
Jc,2c,bb,advanced,aggress,2023-11-30 01:09:34.975814
4d,Qc,sb,advanced,fold,2023-11-30 01:09:49.395256
7c,Jd,bb,advanced,fold,2023-11-30 01:09:56.279526
5d,9d,sb,advanced,aggress,2023-11-30 01:10:01.330028
7s,Ac,bb,advanced,aggress,2023-11-30 01:10:15.854224
5c,3h,sb,advanced,fold,2023-11-30 01:10:27.837414
7d,5d,bb,advanced,aggress,2023-11-30 01:10:31.9612
8d,Th,bb,advanced,aggress,2023-11-30 01:16:14.242225
2c,7s,sb,advanced,fold,2023-11-30 01:16:23.113257
