card1,card2,position,skill,decision,played_at
7h,Th,sb,advanced,aggress,2023-11-30 04:02:42.093844
Ad,Th,bb,advanced,aggress,2023-11-30 04:02:51.695882
Kh,5s,sb,advanced,fold,2023-11-30 04:03:00.553305
7c,4h,sb,advanced,fold,2023-11-30 04:03:05.35978
Kd,6d,sb,advanced,aggress,2023-11-30 04:03:10.753495
Kd,4c,sb,advanced,aggress,2023-11-30 04:03:19.404218
7d,Ad,sb,advanced,aggress,2023-11-30 04:03:34.285541
3c,Jh,bb,advanced,fold,2023-11-30 04:03:35.082687
6d,As,bb,advanced,fold,2023-11-30 04:03:43.521225
2c,Qd,sb,advanced,fold,2023-11-30 04:03:44.593305
5s,Qh,bb,advanced,fold,2023-11-30 04:03:45.536341
Qd,Ad,bb,advanced,aggress,2023-11-30 04:03:47.494568
Td,Qs,sb,advanced,aggress,2023-11-30 04:03:55.80251
2s,Kd,sb,advanced,fold,2023-11-30 04:04:00.691875
3s,Ah,sb,advanced,fold,2023-11-30 04:04:02.783876
Jh,8d,bb,intermediate,fold,2023-11-30 04:04:06.436936
8h,9d,sb,intermediate,aggress,2023-11-30 04:04:07.660285
6h,Kc,sb,advanced,fold,2023-11-30 04:04:07.82552
4h,Ac,sb,intermediate,aggress,2023-11-30 04:04:12.696909
9d,8c,sb,intermediate,aggress,2023-11-30 04:04:17.674115
7d,Kd,sb,advanced,aggress,2023-11-30 04:04:18.740467
8h,Ad,sb,advanced,aggress,2023-11-30 04:04:19.327364
Tc,Js,bb,advanced,aggress,2023-11-30 04:04:22.729191
5c,3s,bb,advanced,fold,2023-11-30 04:04:27.239893
4s,2h,sb,intermediate,fold,2023-11-30 04:04:28.079634
Jc,Ad,sb,advanced,aggress,2023-11-30 04:04:28.48425
Qc,2d,sb,intermediate,aggress,2023-11-30 04:04:31.245175
7d,Ts,sb,advanced,aggress,2023-11-30 04:04:38.966777
9d,5h,sb,advanced,fold,2023-11-30 04:04:40.55434
9s,6c,sb,intermediate,fold,2023-11-30 04:04:40.802985
3d,4s,sb,advanced,aggress,2023-11-30 04:04:43.458671
2h,Jc,bb,advanced,aggress,2023-11-30 04:04:44.975528
Td,6h,sb,intermediate,fold,2023-11-30 04:04:45.719153
5c,Kd,bb,advanced,aggress,2023-11-30 04:04:46.022792
7h,7c,sb,beginner,fold,2023-11-30 04:04:46.313616
9c,Kd,sb,advanced,aggress,2023-11-30 04:04:52.886309
Ts,Jh,sb,advanced,aggress,2023-11-30 04:04:55.085835
9h,4h,sb,intermediate,aggress,2023-11-30 04:04:55.267407
6c,9d,bb,beginner,aggress,2023-11-30 04:04:56.312258
6h,9s,sb,advanced,fold,2023-11-30 04:05:00.545898
9d,4h,sb,advanced,aggress,2023-11-30 04:05:00.60704
Ad,3h,bb,advanced,fold,2023-11-30 04:05:02.541607
Tc,5s,sb,advanced,aggress,2023-11-30 04:05:02.876928
4s,5h,bb,intermediate,aggress,2023-11-30 04:05:03.612378
4s,5s,sb,advanced,fold,2023-11-30 04:05:03.833305
8h,Ad,sb,advanced,aggress,2023-11-30 04:05:14.964907
6h,Qs,sb,advanced,aggress,2023-11-30 04:05:17.427305
9h,Qd,sb,advanced,aggress,2023-11-30 04:05:21.635032
Tc,As,sb,advanced,aggress,2023-11-30 04:05:23.509059
Jc,4s,bb,advanced,aggress,2023-11-30 04:05:26.627719
9h,Qs,bb,advanced,aggress,2023-11-30 04:05:26.787474
2s,4h,sb,advanced,aggress,2023-11-30 04:05:47.277465
8h,9c,sb,advanced,aggress,2023-11-30 04:05:52.48266
8d,Th,sb,beginner,aggress,2023-11-30 04:05:52.631537
8h,Jc,bb,beginner,fold,2023-11-30 04:05:55.025988
Js,4c,bb,advanced,fold,2023-11-30 04:06:32.294109
Qc,5d,sb,beginner,aggress,2023-11-30 04:06:32.886434
8h,5h,sb,advanced,fold,2023-11-30 04:06:33.685048
4s,2s,sb,intermediate,fold,2023-11-30 04:06:35.324647
Js,3s,bb,beginner,aggress,2023-11-30 04:06:38.687673
7h,8d,bb,intermediate,aggress,2023-11-30 04:06:40.4897
5c,Qc,sb,advanced,aggress,2023-11-30 04:07:10.265997
Tc,6d,bb,advanced,fold,2023-11-30 04:07:11.258336
Qs,9c,sb,intermediate,aggress,2023-11-30 04:07:11.869347
2s,Td,sb,advanced,fold,2023-11-30 04:07:40.153694
Qh,9s,sb,advanced,aggress,2023-11-30 04:07:42.88101
Th,4c,sb,advanced,fold,2023-11-30 04:07:45.437288
Kh,3d,bb,advanced,fold,2023-11-30 04:08:05.295176
Jd,7c,sb,advanced,fold,2023-11-30 04:08:15.973023
Kd,9d,bb,advanced,aggress,2023-11-30 04:08:53.580021
Qc,Th,sb,advanced,aggress,2023-11-30 04:09:32.175101
Ad,8c,bb,advanced,aggress,2023-11-30 04:09:34.190794
Qc,5s,bb,advanced,fold,2023-11-30 04:09:49.235136
Jd,7s,sb,advanced,fold,2023-11-30 04:09:51.626126
9d,Tc,sb,advanced,aggress,2023-11-30 04:09:56.745293
Jh,8c,bb,advanced,aggress,2023-11-30 04:09:59.757959
As,2c,sb,advanced,fold,2023-11-30 04:10:54.434315
Qh,4c,bb,advanced,fold,2023-11-30 04:10:56.490247
Qc,4d,sb,advanced,fold,2023-11-30 04:10:57.508432
3s,6s,sb,advanced,fold,2023-11-30 04:11:02.315384
8s,4c,bb,advanced,fold,2023-11-30 04:11:03.709792
Kd,Ac,sb,advanced,aggress,2023-11-30 04:11:05.190415
Jd,7d,bb,advanced,fold,2023-11-30 04:11:14.683526
3h,4d,sb,advanced,fold,2023-11-30 04:11:42.907152
Ks,7d,sb,advanced,aggress,2023-11-30 04:11:45.322866
6h,Qd,sb,advanced,fold,2023-11-30 04:12:33.375454
4h,Js,sb,advanced,fold,2023-11-30 04:12:38.278288
5c,Qd,bb,advanced,fold,2023-11-30 04:12:39.368267
Kd,9s,sb,advanced,fold,2023-11-30 04:12:40.151158
7d,5c,bb,advanced,fold,2023-11-30 04:12:41.51125
2h,2c,sb,advanced,aggress,2023-11-30 04:12:42.49826
5d,4h,sb,advanced,fold,2023-11-30 04:12:44.972661
3s,7h,sb,advanced,fold,2023-11-30 04:13:00.405553
Jd,Ts,sb,advanced,aggress,2023-11-30 04:13:05.275139
Ks,Kh,bb,advanced,aggress,2023-11-30 04:13:06.422002
Kc,Ks,sb,advanced,aggress,2023-11-30 04:13:19.466415
9c,Ad,sb,advanced,aggress,2023-11-30 04:13:36.967864
As,4d,bb,advanced,fold,2023-11-30 04:13:38.690132
Ac,Qc,sb,advanced,aggress,2023-11-30 04:13:39.828034
7c,7d,sb,advanced,aggress,2023-11-30 04:13:52.288487
3s,Jd,bb,advanced,fold,2023-11-30 04:16:36.037975
9s,2h,bb,advanced,fold,2023-11-30 04:16:56.739804
8d,5s,bb,advanced,fold,2023-11-30 03:59:40.040837
8d,6s,sb,advanced,fold,2023-11-30 03:59:45.989541
5d,8s,sb,advanced,fold,2023-11-30 04:00:01.89522
3c,8c,bb,advanced,fold,2023-11-30 04:00:02.63874
7h,Kc,sb,advanced,fold,2023-11-30 04:00:08.546584
Qd,8h,bb,advanced,fold,2023-11-30 04:00:14.507394
6c,9d,sb,advanced,fold,2023-11-30 04:00:16.070231
6h,5h,bb,advanced,fold,2023-11-30 04:00:17.139789
Jh,5d,sb,advanced,fold,2023-11-30 04:00:18.551043
Qd,2d,bb,advanced,fold,2023-11-30 04:00:20.270439
8c,Td,sb,advanced,fold,2023-11-30 04:00:21.466448
3c,4c,sb,advanced,fold,2023-11-30 04:00:24.635068
6s,Qh,bb,advanced,fold,2023-11-30 04:00:42.797806
9h,6h,sb,advanced,fold,2023-11-30 04:00:44.001396
4s,Qh,sb,advanced,fold,2023-11-30 04:00:49.003158
9c,5h,bb,intermediate,fold,2023-11-30 04:01:11.897539
Qc,Ac,bb,advanced,aggress,2023-11-30 04:01:18.595686
3c,2d,sb,intermediate,fold,2023-11-30 04:01:24.631653
2c,Ks,sb,advanced,fold,2023-11-30 04:01:32.582055
Qc,8s,bb,intermediate,aggress,2023-11-30 04:01:45.500359
Jh,6d,sb,advanced,fold,2023-11-30 04:01:48.427134
6h,Qd,sb,advanced,fold,2023-11-30 04:02:04.752431
7c,6s,sb,advanced,fold,2023-11-30 04:02:10.206302
4c,4h,sb,advanced,aggress,2023-11-30 04:02:15.298599
Ts,3h,sb,advanced,fold,2023-11-30 04:02:27.414926
7h,8h,sb,advanced,aggress,2023-11-30 04:02:39.849295
4d,Th,bb,advanced,fold,2023-11-30 04:02:40.899381
Ah,8s,bb,advanced,aggress,2023-11-30 04:03:20.376155
Jh,As,sb,advanced,aggress,2023-11-30 04:03:29.123907
6h,7h,sb,intermediate,aggress,2023-11-30 04:03:39.365935
2c,Jd,sb,advanced,fold,2023-11-30 04:03:46.409434
Qh,5c,sb,advanced,fold,2023-11-30 04:03:52.83628
Qs,3s,sb,intermediate,aggress,2023-11-30 04:03:54.056417
3s,Kd,sb,intermediate,aggress,2023-11-30 04:03:58.949876
As,8d,sb,advanced,aggress,2023-11-30 04:04:01.482866
4h,6d,bb,advanced,fold,2023-11-30 04:04:01.67789
2d,3h,sb,intermediate,fold,2023-11-30 04:04:03.894538
Js,3c,sb,advanced,fold,2023-11-30 04:04:13.094422
Ks,Qh,bb,advanced,aggress,2023-11-30 04:04:22.554025
2h,Ad,sb,intermediate,aggress,2023-11-30 04:04:23.161607
Jc,5h,sb,advanced,fold,2023-11-30 04:04:26.061943
6c,5d,bb,intermediate,fold,2023-11-30 04:04:30.136375
Ah,8h,sb,beginner,aggress,2023-11-30 04:04:31.642867
Js,8c,sb,advanced,aggress,2023-11-30 04:04:32.508456
3d,7c,sb,advanced,aggress,2023-11-30 04:04:33.497723
Td,3c,bb,advanced,aggress,2023-11-30 04:04:35.458363
3h,6s,bb,intermediate,fold,2023-11-30 04:04:39.707368
9s,Kh,bb,advanced,aggress,2023-11-30 04:04:42.152609
Ad,Qh,sb,advanced,aggress,2023-11-30 04:04:44.666838
9d,As,bb,intermediate,aggress,2023-11-30 04:04:46.770935
Jc,2h,sb,advanced,fold,2023-11-30 04:04:50.467863
Qc,Kd,bb,advanced,aggress,2023-11-30 04:04:51.83014
4s,4h,sb,beginner,fold,2023-11-30 04:04:51.840654
7h,9s,bb,advanced,aggress,2023-11-30 04:04:54.171988
8s,3s,bb,advanced,aggress,2023-11-30 04:05:01.869067
Qs,6s,sb,advanced,aggress,2023-11-30 04:05:11.869752
8d,6s,sb,advanced,fold,2023-11-30 04:05:17.534152
7c,Qd,bb,advanced,fold,2023-11-30 04:05:19.40335
Jh,Qs,sb,advanced,aggress,2023-11-30 04:05:36.367123
8d,3h,sb,advanced,aggress,2023-11-30 04:05:42.265174
6c,Th,sb,beginner,aggress,2023-11-30 04:05:56.098886
Td,6c,bb,beginner,aggress,2023-11-30 04:06:22.506608
7c,7d,sb,intermediate,aggress,2023-11-30 04:06:55.565545
8c,3c,bb,intermediate,fold,2023-11-30 04:07:05.172755
2s,7c,sb,intermediate,fold,2023-11-30 04:07:06.53695
Ah,Ac,sb,advanced,aggress,2023-11-30 04:07:12.529858
9c,Js,bb,intermediate,aggress,2023-11-30 04:07:15.351558
Ks,6c,sb,advanced,aggress,2023-11-30 04:07:20.583896
Jh,3d,sb,advanced,fold,2023-11-30 04:07:25.637149
7c,Ac,bb,advanced,aggress,2023-11-30 04:07:28.309192
2h,Th,bb,advanced,fold,2023-11-30 04:07:41.301822
Qc,5s,bb,advanced,fold,2023-11-30 04:07:44.200192
2c,Kc,sb,advanced,aggress,2023-11-30 04:08:28.554893
Th,Ad,sb,advanced,aggress,2023-11-30 04:09:42.881765
4s,Jh,bb,advanced,fold,2023-11-30 04:09:55.536962
Ks,7s,sb,advanced,aggress,2023-11-30 04:11:16.202644
3h,As,bb,advanced,fold,2023-11-30 04:11:31.423855
5d,6d,sb,advanced,fold,2023-11-30 04:11:38.040938
Th,3c,bb,advanced,fold,2023-11-30 04:11:44.149077
4c,2s,sb,advanced,fold,2023-11-30 04:12:00.592907
8h,Td,sb,advanced,fold,2023-11-30 04:12:17.61939
9h,8s,sb,advanced,fold,2023-11-30 04:12:23.023703
7h,3h,bb,advanced,fold,2023-11-30 04:12:32.158983
5s,Td,bb,advanced,fold,2023-11-30 04:12:43.684372
3d,2h,sb,advanced,fold,2023-11-30 04:12:49.916911
8s,Ac,bb,advanced,aggress,2023-11-30 04:12:52.2108
8c,Ac,sb,advanced,aggress,2023-11-30 04:13:14.600031
7s,7h,sb,advanced,aggress,2023-11-30 04:13:24.333329
9s,8s,bb,advanced,aggress,2023-11-30 04:13:41.559593
3d,4s,bb,advanced,fold,2023-11-30 04:13:59.16785
Th,Ts,sb,advanced,aggress,2023-11-30 04:14:04.887923
2c,Kh,sb,advanced,fold,2023-11-30 04:14:09.841959
Td,8h,bb,advanced,fold,2023-11-30 04:14:11.017356
7c,Ah,sb,advanced,fold,2023-11-30 04:14:12.049674
4c,2h,bb,advanced,fold,2023-11-30 04:14:44.11649
Ac,5d,sb,advanced,fold,2023-11-30 04:14:45.31607
8s,4d,sb,advanced,fold,2023-11-30 04:14:47.849352
3h,8h,sb,advanced,fold,2023-11-30 04:14:52.909575
4h,2d,bb,advanced,fold,2023-11-30 04:15:05.824017
Kd,4h,bb,advanced,fold,2023-11-30 04:15:14.166844
2d,9h,sb,advanced,fold,2023-11-30 04:15:15.208762
Ad,8c,bb,advanced,aggress,2023-11-30 04:15:17.082547
9c,5c,sb,advanced,fold,2023-11-30 04:15:25.609434
6c,2s,sb,advanced,fold,2023-11-30 04:16:57.853387
4s,Th,sb,advanced,fold,2023-11-30 04:17:05.240433
Tc,4d,bb,advanced,fold,2023-11-30 04:17:07.14602
Jd,2d,sb,advanced,aggress,2023-11-30 04:17:14.585612
7c,2c,bb,advanced,fold,2023-11-30 04:17:16.101739
2s,Kd,sb,advanced,fold,2023-11-30 04:17:17.566165
Kh,5c,bb,advanced,fold,2023-11-30 04:17:18.843716
2c,Qs,sb,advanced,fold,2023-11-30 04:17:20.220486
Td,2d,sb,advanced,fold,2023-11-30 04:18:13.212318
3d,7c,sb,advanced,fold,2023-11-30 04:18:24.9113
7h,2s,sb,advanced,fold,2023-11-30 04:18:48.428302
Ac,5s,sb,advanced,aggress,2023-11-30 04:18:57.354285
Jh,Qc,sb,advanced,aggress,2023-11-30 04:18:57.952521
Jc,Ts,sb,advanced,aggress,2023-11-30 04:19:03.913107
Qs,4h,sb,advanced,fold,2023-11-30 04:19:37.523721
2d,Ah,sb,advanced,aggress,2023-11-30 04:20:30.096308
8d,3d,bb,advanced,fold,2023-11-30 04:20:49.986775
6s,8h,sb,advanced,fold,2023-11-30 04:20:52.469992
Td,9c,bb,advanced,aggress,2023-11-30 04:20:58.93863
4c,8d,sb,advanced,fold,2023-11-30 04:21:15.867982
9c,2d,sb,advanced,fold,2023-11-30 04:21:24.271355
2d,4s,bb,advanced,fold,2023-11-30 04:21:25.703802
4d,Kh,bb,intermediate,aggress,2023-11-30 04:21:35.979751
Ad,4c,sb,intermediate,aggress,2023-11-30 04:22:26.519896
Ac,6s,sb,intermediate,aggress,2023-11-30 04:22:40.084095
8s,6s,bb,advanced,fold,2023-11-30 04:25:28.496287
8c,9h,sb,advanced,fold,2023-11-30 04:25:40.299713
Qd,4h,sb,advanced,fold,2023-11-30 04:26:18.132678
3d,9d,sb,advanced,fold,2023-11-30 04:26:46.929455
Js,3c,sb,advanced,fold,2023-11-30 04:26:53.209074
5h,8c,bb,advanced,fold,2023-11-30 04:26:57.004449
8d,Qh,sb,advanced,aggress,2023-11-30 04:26:58.358687
Kc,4h,bb,beginner,fold,2023-11-30 04:27:09.484165
9h,5s,sb,advanced,fold,2023-11-30 04:27:15.853873
5h,2d,sb,advanced,fold,2023-11-30 04:27:26.515768
6c,3d,bb,beginner,fold,2023-11-30 04:27:39.182904
As,Js,sb,beginner,aggress,2023-11-30 04:27:44.58493
Td,Js,sb,advanced,aggress,2023-11-30 04:27:48.150911
2d,9s,sb,advanced,fold,2023-11-30 04:27:51.169092
5h,3d,bb,advanced,fold,2023-11-30 04:27:52.709476
Ts,Td,sb,intermediate,aggress,2023-11-30 04:28:01.78096
Js,7s,bb,intermediate,aggress,2023-11-30 04:28:06.507827
7d,As,sb,beginner,fold,2023-11-30 04:28:08.085301
Ad,8h,sb,advanced,aggress,2023-11-30 04:28:08.714371
2d,Qs,sb,advanced,fold,2023-11-30 04:28:11.49736
4s,5d,sb,advanced,fold,2023-11-30 04:28:16.764859
6c,Th,bb,beginner,aggress,2023-11-30 04:28:16.847356
9h,4c,sb,intermediate,fold,2023-11-30 04:28:23.174642
6s,7s,sb,beginner,aggress,2023-11-30 04:28:31.270957
Kc,8d,sb,intermediate,aggress,2023-11-30 04:28:36.499881
Kc,Kd,bb,advanced,aggress,2023-11-30 04:28:45.745282
8s,2s,sb,advanced,fold,2023-11-30 04:29:00.182783
8h,4d,bb,intermediate,fold,2023-11-30 04:29:11.04375
6c,2s,sb,advanced,fold,2023-11-30 04:29:11.360948
Ac,7c,sb,advanced,aggress,2023-11-30 04:29:14.055896
Jc,Kd,bb,advanced,aggress,2023-11-30 04:29:22.742351
7d,Ts,bb,intermediate,aggress,2023-11-30 04:29:23.31044
Tc,4d,sb,advanced,fold,2023-11-30 04:29:31.337956
Ts,Js,sb,intermediate,aggress,2023-11-30 04:29:33.462535
2h,9c,bb,advanced,fold,2023-11-30 04:29:35.001854
7h,5h,sb,advanced,aggress,2023-11-30 04:29:36.496018
8s,Tc,sb,advanced,aggress,2023-11-30 04:29:42.178234
Ah,6h,bb,advanced,aggress,2023-11-30 04:29:43.823284
Kd,5h,sb,intermediate,aggress,2023-11-30 04:29:46.68309
As,2c,bb,intermediate,aggress,2023-11-30 04:30:02.411122
4d,5h,sb,intermediate,fold,2023-11-30 04:30:13.786565
Qs,8d,bb,intermediate,aggress,2023-11-30 04:30:15.961734
2s,3s,sb,advanced,fold,2023-11-30 04:30:33.096423
Ac,Ad,bb,intermediate,aggress,2023-11-30 04:30:39.684067
Ah,3c,bb,advanced,aggress,2023-11-30 04:30:40.496004
3s,5h,bb,advanced,fold,2023-11-30 04:30:50.515728
Js,5s,sb,intermediate,aggress,2023-11-30 04:30:51.1672
4s,Td,sb,advanced,fold,2023-11-30 04:30:51.560733
Jd,Th,bb,advanced,aggress,2023-11-30 04:30:52.841867
3h,8s,bb,intermediate,fold,2023-11-30 04:30:53.924248
Ac,Qd,sb,advanced,aggress,2023-11-30 04:31:11.573562
9d,5s,bb,advanced,fold,2023-11-30 04:31:12.86345
Jd,Jh,sb,advanced,aggress,2023-11-30 04:31:14.144956
Kh,7h,bb,advanced,aggress,2023-11-30 04:31:15.758805
3s,9h,bb,intermediate,fold,2023-11-30 04:31:16.22621
4s,6h,sb,intermediate,fold,2023-11-30 04:31:18.298779
8h,Tc,sb,intermediate,aggress,2023-11-30 04:31:29.973222
6h,6d,bb,intermediate,aggress,2023-11-30 04:31:32.021352
4d,6c,bb,advanced,fold,2023-11-30 04:31:43.341312
6c,Ad,sb,advanced,aggress,2023-11-30 04:31:44.576438
Jd,Kc,sb,intermediate,aggress,2023-11-30 04:31:50.771844
As,Ac,sb,intermediate,aggress,2023-11-30 04:32:08.669841
4c,5s,bb,intermediate,fold,2023-11-30 04:32:19.179925
Ts,4c,sb,intermediate,fold,2023-11-30 04:32:21.579531
9d,8h,sb,advanced,aggress,2023-11-30 04:32:27.2201
9s,Ah,sb,intermediate,aggress,2023-11-30 04:32:39.606183
4d,9s,sb,intermediate,fold,2023-11-30 04:32:45.356687
Qc,2c,bb,intermediate,aggress,2023-11-30 04:32:47.493864
6s,4h,sb,advanced,fold,2023-11-30 04:32:49.306706
Tc,6h,bb,advanced,fold,2023-11-30 04:32:50.760499
3d,3c,sb,advanced,aggress,2023-11-30 04:32:52.718654
2s,4d,bb,advanced,fold,2023-11-30 04:32:54.510951
2d,5s,sb,advanced,fold,2023-11-30 04:32:56.241709
4s,8c,bb,advanced,fold,2023-11-30 04:32:57.532455
2s,3c,bb,intermediate,fold,2023-11-30 04:33:03.131334
9s,As,bb,intermediate,aggress,2023-11-30 04:33:10.111768
Ah,5d,sb,advanced,aggress,2023-11-30 04:33:18.533582
2c,3d,sb,intermediate,fold,2023-11-30 04:33:20.630665
5d,5h,sb,intermediate,aggress,2023-11-30 04:33:36.88907
5d,7d,bb,intermediate,fold,2023-11-30 04:33:39.183387
4h,2h,sb,intermediate,fold,2023-11-30 04:33:40.593833
7c,9s,sb,intermediate,fold,2023-11-30 04:33:53.040434
Kc,4c,bb,intermediate,aggress,2023-11-30 04:33:54.903345
9h,7s,sb,intermediate,aggress,2023-11-30 04:34:10.425342
Kc,6d,bb,intermediate,aggress,2023-11-30 04:34:24.144754
9c,Th,bb,intermediate,aggress,2023-11-30 04:34:44.038354
As,2h,sb,intermediate,aggress,2023-11-30 04:35:14.225324
4h,5s,bb,intermediate,fold,2023-11-30 04:35:36.479526
9c,4d,sb,intermediate,fold,2023-11-30 04:35:49.095019
Kd,6c,bb,intermediate,aggress,2023-11-30 04:35:51.075505
Qs,2s,bb,beginner,aggress,2023-11-30 04:35:57.727428
8s,3c,bb,intermediate,fold,2023-11-30 04:36:06.858659
Ad,9h,sb,beginner,aggress,2023-11-30 04:36:18.569998
4d,5h,bb,intermediate,fold,2023-11-30 04:36:24.328098
Ad,Qs,sb,intermediate,aggress,2023-11-30 04:36:46.858802
9s,As,sb,advanced,aggress,2023-11-30 06:18:19.789921
Jc,5h,bb,advanced,fold,2023-11-30 06:18:22.023352
4c,Ah,sb,advanced,aggress,2023-11-30 06:18:23.452902
3s,Kh,sb,advanced,aggress,2023-11-30 06:18:30.147192
Kd,4d,sb,advanced,aggress,2023-11-30 06:18:35.830859
3h,Kh,bb,advanced,aggress,2023-11-30 06:18:45.010861
3c,8h,sb,advanced,fold,2023-11-30 06:18:53.940599
Ts,Jd,bb,advanced,aggress,2023-11-30 06:18:55.531436
2d,Jc,sb,advanced,fold,2023-11-30 06:19:04.38723
Ah,Js,sb,advanced,aggress,2023-11-30 06:19:07.693605
Qs,Qd,sb,advanced,aggress,2023-11-30 06:19:20.47615
Kd,Qh,sb,advanced,aggress,2023-11-30 06:19:36.573717
6c,Qd,bb,advanced,fold,2023-11-30 06:19:38.423757
Kd,Ad,sb,advanced,aggress,2023-11-30 06:19:39.649662
Jd,8c,sb,advanced,aggress,2023-11-30 06:19:52.417635
2d,7c,bb,advanced,fold,2023-11-30 06:19:59.265058
Qs,Ac,sb,advanced,aggress,2023-11-30 06:20:13.367977
Ts,6d,bb,advanced,fold,2023-11-30 06:20:15.222914
2c,Tc,sb,advanced,fold,2023-11-30 06:20:17.222284
4d,5c,sb,advanced,fold,2023-11-30 06:20:23.210349
8d,6s,sb,advanced,fold,2023-11-30 06:20:26.10301
Th,8s,sb,advanced,aggress,2023-11-30 06:20:36.35878
Kd,Ts,bb,advanced,aggress,2023-11-30 06:20:45.542772
Jh,3s,sb,advanced,aggress,2023-11-30 06:20:56.353108
2c,6h,sb,advanced,fold,2023-11-30 06:21:01.541528
3s,7s,sb,advanced,fold,2023-11-30 06:21:07.506002
Ad,Ks,sb,advanced,aggress,2023-11-30 06:21:24.061957
2s,Ks,sb,advanced,aggress,2023-11-30 06:21:41.92811
5c,8d,sb,advanced,fold,2023-11-30 06:21:47.255092
3h,2d,sb,advanced,fold,2023-11-30 06:21:58.235202
3d,7s,sb,advanced,fold,2023-11-30 04:25:29.627731
2d,Kc,bb,advanced,aggress,2023-11-30 04:25:31.307816
As,9h,bb,advanced,aggress,2023-11-30 04:25:41.663739
Jc,Kh,sb,advanced,aggress,2023-11-30 04:25:50.305666
7c,8c,bb,advanced,aggress,2023-11-30 04:25:59.895603
2h,Ac,sb,advanced,aggress,2023-11-30 04:26:10.426357
8c,5h,sb,advanced,fold,2023-11-30 04:26:23.209397
Ad,8h,bb,advanced,aggress,2023-11-30 04:26:26.936709
6h,Ac,sb,advanced,aggress,2023-11-30 04:26:35.867379
Td,2d,bb,advanced,fold,2023-11-30 04:26:45.472732
Kh,3s,bb,advanced,fold,2023-11-30 04:26:49.826413
6h,Js,bb,advanced,fold,2023-11-30 04:26:54.304656
9h,Ac,sb,advanced,aggress,2023-11-30 04:26:55.613413
Jc,9h,sb,advanced,aggress,2023-11-30 04:27:10.790671
As,Js,sb,beginner,aggress,2023-11-30 04:27:17.860217
9h,5h,sb,advanced,fold,2023-11-30 04:27:21.314113
5s,Jd,sb,advanced,fold,2023-11-30 04:27:32.738306
3h,Ad,sb,advanced,aggress,2023-11-30 04:27:37.63737
Ah,Ks,bb,advanced,aggress,2023-11-30 04:27:39.451043
Ac,Td,bb,beginner,aggress,2023-11-30 04:27:48.294585
5c,8d,bb,advanced,fold,2023-11-30 04:27:49.7338
4h,5d,sb,advanced,fold,2023-11-30 04:27:54.332306
Kc,Ad,sb,advanced,aggress,2023-11-30 04:28:00.113723
3h,Td,bb,advanced,fold,2023-11-30 04:28:02.630384
Tc,Ts,sb,advanced,aggress,2023-11-30 04:28:03.772341
4c,Jh,bb,advanced,fold,2023-11-30 04:28:10.242008
Ah,6c,sb,intermediate,aggress,2023-11-30 04:28:16.529678
7d,6d,sb,advanced,aggress,2023-11-30 04:28:21.90978
3c,As,bb,intermediate,aggress,2023-11-30 04:28:25.903676
Qs,9h,sb,advanced,aggress,2023-11-30 04:28:30.345747
Ah,7h,bb,intermediate,aggress,2023-11-30 04:28:39.416235
Jd,6s,sb,intermediate,aggress,2023-11-30 04:28:50.946346
2h,Jd,sb,advanced,fold,2023-11-30 04:28:54.934326
Ad,3s,bb,advanced,aggress,2023-11-30 04:29:01.724989
3h,8s,sb,intermediate,fold,2023-11-30 04:29:07.879097
8d,7h,bb,advanced,fold,2023-11-30 04:29:12.863216
8c,Kd,sb,intermediate,aggress,2023-11-30 04:29:13.578036
Kd,6d,sb,intermediate,aggress,2023-11-30 04:30:00.162263
9d,Jc,sb,advanced,aggress,2023-11-30 04:30:13.445959
8s,7d,sb,advanced,aggress,2023-11-30 04:30:19.404392
3s,Qs,bb,advanced,aggress,2023-11-30 04:30:23.118812
Th,7s,sb,intermediate,fold,2023-11-30 04:30:26.339429
4h,3c,sb,intermediate,fold,2023-11-30 04:30:33.271536
9s,3d,sb,advanced,fold,2023-11-30 04:30:38.932971
6s,Th,sb,advanced,fold,2023-11-30 04:30:49.057402
6s,4s,sb,intermediate,fold,2023-11-30 04:30:56.070318
2h,7h,sb,advanced,fold,2023-11-30 04:31:01.743781
Kd,9h,sb,intermediate,aggress,2023-11-30 04:31:02.141657
9h,8h,bb,advanced,aggress,2023-11-30 04:31:03.127846
6s,9c,bb,intermediate,fold,2023-11-30 04:31:04.466351
Qd,8h,sb,intermediate,aggress,2023-11-30 04:31:06.34052
2c,8h,bb,intermediate,fold,2023-11-30 04:31:20.075571
5d,8s,sb,intermediate,fold,2023-11-30 04:31:21.573555
7h,7c,sb,advanced,aggress,2023-11-30 04:31:24.316142
5s,4s,sb,intermediate,fold,2023-11-30 04:31:28.940077
Ks,Js,bb,advanced,aggress,2023-11-30 04:31:33.176871
7h,5d,sb,advanced,fold,2023-11-30 04:31:42.012839
7s,8s,sb,intermediate,aggress,2023-11-30 04:31:45.005647
Qs,Qc,sb,advanced,aggress,2023-11-30 04:31:49.704786
Ts,9h,bb,advanced,fold,2023-11-30 04:31:51.857741
5c,Js,sb,advanced,fold,2023-11-30 04:31:53.385916
Qh,9d,bb,advanced,aggress,2023-11-30 04:31:55.422203
Ah,Jd,bb,intermediate,aggress,2023-11-30 04:31:58.143788
Jc,Th,sb,advanced,aggress,2023-11-30 04:32:20.252175
Qs,9h,sb,intermediate,aggress,2023-11-30 04:32:27.752429
